,movieId,title,genres,imdbId,tmdbId,tag,metadata,year
47,53,Lamerica,Adventure Drama,110299,49133.0,, Adventure Drama,1994
48,54,"Big Green, The",Children Comedy,112499,26441.0,, Children Comedy,1995
49,55,Georgia,Drama,113158,97406.0,, Drama,1995
50,57,Home for the Holidays,Drama,113321,9089.0,, Drama,1995
51,58,"Postman, The (Postino, Il)",Comedy Drama Romance,110877,11010.0,writing,writing Comedy Drama Romance,1994
52,60,"Indian in the Cupboard, The",Adventure Children Fantasy,113419,11359.0,, Adventure Children Fantasy,1995
53,61,Eye for an Eye,Drama Thriller,116260,17182.0,, Drama Thriller,1996
54,62,Mr. Holland's Opus,Drama,113862,2054.0,music,music Drama,1995
55,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy Crime,116126,10607.0,, Comedy Crime,1996
56,64,Two if by Sea,Comedy Romance,118002,19760.0,, Comedy Romance,1996
57,65,Bio-Dome,Comedy,115683,9536.0,, Comedy,1996
58,66,Lawnmower Man 2: Beyond Cyberspace,Action Sci-Fi Thriller,116839,11525.0,, Action Sci-Fi Thriller,1996
59,68,French Twist (Gazon maudit),Comedy Romance,113149,4482.0,, Comedy Romance,1995
60,69,Friday,Comedy,113118,10634.0,, Comedy,1995
61,70,From Dusk Till Dawn,Action Comedy Horror Thriller,116367,755.0,, Action Comedy Horror Thriller,1996
62,71,Fair Game,Action,113010,11859.0,, Action,1995
63,72,Kicking and Screaming,Comedy Drama,113537,28387.0,, Comedy Drama,1995
64,73,"Misérables, Les",Drama War,113828,48750.0,, Drama War,1995
65,74,Bed of Roses,Drama Romance,115644,20927.0,, Drama Romance,1996
66,75,Big Bully,Comedy Drama,115676,36929.0,, Comedy Drama,1996
67,76,Screamers,Action Sci-Fi Thriller,114367,9102.0,, Action Sci-Fi Thriller,1995
68,77,Nico Icon,Documentary,113973,124626.0,, Documentary,1995
69,78,"Crossing Guard, The",Action Crime Drama Thriller,112744,27526.0,, Action Crime Drama Thriller,1995
70,79,"Juror, The",Drama Thriller,116731,9623.0,, Drama Thriller,1996
71,80,"White Balloon, The (Badkonake sefid)",Children Drama,112445,46785.0,, Children Drama,1995
72,81,Things to Do in Denver When You're Dead,Crime Drama Romance,114660,400.0,, Crime Drama Romance,1995
73,82,Antonia's Line (Antonia),Comedy Drama,112379,880.0,, Comedy Drama,1995
74,85,Angels and Insects,Drama Romance,112365,8447.0,, Drama Romance,1995
75,86,White Squall,Action Adventure Drama,118158,10534.0,, Action Adventure Drama,1996
76,87,Dunston Checks In,Children Comedy,116151,17414.0,, Children Comedy,1996
77,88,Black Sheep,Comedy,115697,13997.0,, Comedy,1996
78,89,Nick of Time,Action Thriller,113972,2086.0,, Action Thriller,1995
79,92,Mary Reilly,Drama Horror Thriller,117002,9095.0,Jekyll and Hyde,Jekyll and Hyde Drama Horror Thriller,1996
80,93,Vampire in Brooklyn,Comedy Horror Romance,114825,12158.0,, Comedy Horror Romance,1995
81,94,Beautiful Girls,Comedy Drama Romance,115639,9283.0,, Comedy Drama Romance,1996
82,95,Broken Arrow,Action Adventure Thriller,115759,9208.0,, Action Adventure Thriller,1996
83,96,In the Bleak Midwinter,Comedy Drama,113403,40154.0,theater,theater Comedy Drama,1995
84,97,"Hate (Haine, La)",Crime Drama,113247,406.0,, Crime Drama,1995
85,99,Heidi Fleiss: Hollywood Madam,Documentary,113283,63076.0,, Documentary,1995
86,100,City Hall,Drama Thriller,115907,11062.0,, Drama Thriller,1996
87,101,Bottle Rocket,Adventure Comedy Crime Romance,115734,13685.0,crime off-beat comedy quirky,crime off-beat comedy quirky Adventure Comedy Crime Romance,1996
88,102,Mr. Wrong,Comedy,117102,47475.0,, Comedy,1996
89,103,Unforgettable,Mystery Sci-Fi Thriller,118040,2045.0,, Mystery Sci-Fi Thriller,1996
90,104,Happy Gilmore,Comedy,116483,9614.0,test tag golf Adam Sandler,test tag golf Adam Sandler Comedy,1996
91,105,"Bridges of Madison County, The",Drama Romance,112579,688.0,, Drama Romance,1995
92,106,Nobody Loves Me (Keiner liebt mich),Comedy Drama,110251,11907.0,, Comedy Drama,1994
93,107,Muppet Treasure Island,Adventure Children Comedy Musical,117110,10874.0,muppets,muppets Adventure Children Comedy Musical,1996
94,108,Catwalk,Documentary,112646,89333.0,, Documentary,1996
95,110,Braveheart,Action Drama War,112573,197.0,beautiful scenery epic historical inspirational Medieval mel gibson Oscar (Best Cinematography) revenge sword fight Scotland,beautiful scenery epic historical inspirational Medieval mel gibson Oscar (Best Cinematography) revenge sword fight Scotland Action Drama War,1995
96,111,Taxi Driver,Crime Drama Thriller,75314,103.0,assassination,assassination Crime Drama Thriller,1976
97,112,Rumble in the Bronx (Hont faan kui),Action Adventure Comedy Crime,113326,33542.0,, Action Adventure Comedy Crime,1995
98,113,Before and After,Drama Mystery,115645,43566.0,, Drama Mystery,1996
99,116,Anne Frank Remembered,Documentary,112373,51352.0,Holocaust,Holocaust Documentary,1995
100,117,"Young Poisoner's Handbook, The",Crime Drama,115033,16934.0,, Crime Drama,1995
101,118,If Lucy Fell,Comedy Romance,116606,10324.0,, Comedy Romance,1996
102,119,"Steal Big, Steal Little",Comedy,114536,78406.0,, Comedy,1995
103,121,"Boys of St. Vincent, The",Drama,106473,32119.0,, Drama,1992
104,122,Boomerang,Comedy Romance,103859,11066.0,dating,dating Comedy Romance,1992
105,123,Chungking Express (Chung Hing sam lam),Drama Mystery Romance,109424,11104.0,, Drama Mystery Romance,1994
106,125,Flirting With Disaster,Comedy,116324,2074.0,, Comedy,1996
107,126,"NeverEnding Story III, The",Adventure Children Fantasy,110647,27793.0,, Adventure Children Fantasy,1994
108,128,Jupiter's Wife,Documentary,110217,290157.0,, Documentary,1994
109,129,Pie in the Sky,Comedy Romance,114131,110972.0,, Comedy Romance,1996
110,132,Jade,Thriller,113451,11863.0,, Thriller,1995
111,135,Down Periscope,Comedy,116130,9101.0,, Comedy,1996
112,140,Up Close and Personal,Drama Romance,118055,9302.0,journalism,journalism Drama Romance,1996
113,141,"Birdcage, The",Comedy,115685,11000.0,, Comedy,1996
114,144,"Brothers McMullen, The",Comedy,112585,16388.0,, Comedy,1995
115,145,Bad Boys,Action Comedy Crime Drama Thriller,112442,9737.0,, Action Comedy Crime Drama Thriller,1995
116,146,"Amazing Panda Adventure, The",Adventure Children,112342,30765.0,, Adventure Children,1995
117,147,"Basketball Diaries, The",Drama,112461,10474.0,addiction heroin Leonardo DiCaprio Mark Wahlberg,addiction heroin Leonardo DiCaprio Mark Wahlberg Drama,1995
118,148,"Awfully Big Adventure, An",Drama,112427,22279.0,, Drama,1995
119,149,Amateur,Crime Drama Thriller,109093,30157.0,, Crime Drama Thriller,1994
120,150,Apollo 13,Adventure Drama IMAX,112384,568.0,moon NASA space,moon NASA space Adventure Drama IMAX,1995
121,151,Rob Roy,Action Drama Romance War,114287,11780.0,, Action Drama Romance War,1995
122,152,"Addiction, The",Drama Horror,112288,34996.0,, Drama Horror,1995
123,153,Batman Forever,Action Adventure Comedy Crime,112462,414.0,superhero superhero,superhero superhero Action Adventure Comedy Crime,1995
124,154,Beauty of the Day (Belle de jour),Drama,61395,649.0,, Drama,1967
125,155,Beyond Rangoon,Adventure Drama War,112495,1873.0,, Adventure Drama War,1995
126,156,Blue in the Face,Comedy Drama,112541,5894.0,, Comedy Drama,1995
127,157,Canadian Bacon,Comedy War,109370,1775.0,, Comedy War,1995
128,158,Casper,Adventure Children,112642,8839.0,, Adventure Children,1995
129,159,Clockers,Crime Drama Mystery,112688,20649.0,, Crime Drama Mystery,1995
130,160,Congo,Action Adventure Mystery Sci-Fi,112715,10329.0,Michael Crichton,Michael Crichton Action Adventure Mystery Sci-Fi,1995
131,161,Crimson Tide,Drama Thriller War,112740,8963.0,submarine,submarine Drama Thriller War,1995
132,162,Crumb,Documentary,109508,26564.0,In Netflix queue,In Netflix queue Documentary,1994
133,163,Desperado,Action Romance Western,112851,8068.0,, Action Romance Western,1995
134,164,Devil in a Blue Dress,Crime Film-Noir Mystery Thriller,112857,8512.0,, Crime Film-Noir Mystery Thriller,1995
135,165,Die Hard: With a Vengeance,Action Crime Thriller,112864,1572.0,, Action Crime Thriller,1995
136,166,"Doom Generation, The",Comedy Crime Drama,112887,13552.0,, Comedy Crime Drama,1995
137,168,First Knight,Action Drama Romance,113071,6520.0,, Action Drama Romance,1995
138,169,Free Willy 2: The Adventure Home,Adventure Children Drama,113114,9073.0,, Adventure Children Drama,1995
139,170,Hackers,Action Adventure Crime Thriller,113243,10428.0,, Action Adventure Crime Thriller,1995
140,171,Jeffrey,Comedy Drama,113464,17447.0,, Comedy Drama,1995
141,172,Johnny Mnemonic,Action Sci-Fi Thriller,113481,9886.0,, Action Sci-Fi Thriller,1995
142,173,Judge Dredd,Action Crime Sci-Fi,113492,9482.0,, Action Crime Sci-Fi,1995
143,174,Jury Duty,Comedy,113500,19326.0,, Comedy,1995
144,175,Kids,Drama,113540,9344.0,controversial New York City Nudity (Full Frontal),controversial New York City Nudity (Full Frontal) Drama,1995
145,176,Living in Oblivion,Comedy,113677,9071.0,, Comedy,1995
146,177,Lord of Illusions,Horror,113690,8973.0,, Horror,1995
147,178,Love & Human Remains,Comedy Drama,107447,15730.0,, Comedy Drama,1993
148,179,Mad Love,Drama Romance,113729,47608.0,, Drama Romance,1995
149,180,Mallrats,Comedy Romance,113749,2293.0,, Comedy Romance,1995
150,181,Mighty Morphin Power Rangers: The Movie,Action Children,113820,9070.0,, Action Children,1995
151,183,Mute Witness,Comedy Horror Thriller,110604,48787.0,, Comedy Horror Thriller,1994
152,184,Nadja,Drama,110620,34574.0,, Drama,1994
153,185,"Net, The",Action Crime Thriller,113957,1642.0,computers,computers Action Crime Thriller,1995
154,186,Nine Months,Comedy Romance,113986,11472.0,, Comedy Romance,1995
155,187,Party Girl,Comedy,114095,36196.0,, Comedy,1995
156,188,"Prophecy, The",Fantasy Horror Mystery,114194,11980.0,, Fantasy Horror Mystery,1995
157,189,Reckless,Comedy Fantasy,114241,58372.0,, Comedy Fantasy,1995
158,190,Safe,Thriller,114323,32646.0,, Thriller,1995
159,191,"Scarlet Letter, The",Drama Romance,114345,10533.0,, Drama Romance,1995
160,193,Showgirls,Drama,114436,10802.0,, Drama,1995
161,194,Smoke,Comedy Drama,114478,10149.0,, Comedy Drama,1995
162,195,Something to Talk About,Comedy Drama Romance,114496,18402.0,, Comedy Drama Romance,1995
163,196,Species,Horror Sci-Fi,114508,9348.0,, Horror Sci-Fi,1995
164,198,Strange Days,Action Crime Drama Mystery Sci-Fi Thriller,114558,281.0,, Action Crime Drama Mystery Sci-Fi Thriller,1995
165,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",Drama Musical Romance,58450,5967.0,Made me cry,Made me cry Drama Musical Romance,1964
166,201,Three Wishes,Drama Fantasy,114663,47939.0,, Drama Fantasy,1995
167,202,Total Eclipse,Drama Romance,114702,36834.0,, Drama Romance,1995
168,203,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,114682,9090.0,, Comedy,1995
169,204,Under Siege 2: Dark Territory,Action,114781,3512.0,, Action,1995
170,205,Unstrung Heroes,Comedy Drama,114798,52856.0,, Comedy Drama,1995
171,206,Unzipped,Documentary,114805,77350.0,, Documentary,1995
172,207,"Walk in the Clouds, A",Drama Romance,114887,9560.0,, Drama Romance,1995
173,208,Waterworld,Action Adventure Sci-Fi,114898,9804.0,, Action Adventure Sci-Fi,1995
174,209,White Man's Burden,Drama,114928,31611.0,, Drama,1995
175,210,Wild Bill,Western,114938,65796.0,, Western,1995
176,211,"Browning Version, The",Drama,109340,49805.0,, Drama,1994
177,212,Bushwhacked,Adventure Comedy Crime Mystery,112602,26258.0,, Adventure Comedy Crime Mystery,1995
178,213,Burnt by the Sun (Utomlyonnye solntsem),Drama,111579,50797.0,, Drama,1994
179,214,Before the Rain (Pred dozhdot),Drama War,110882,19155.0,, Drama War,1994
180,215,Before Sunrise,Drama Romance,112471,76.0,generation X,generation X Drama Romance,1995
181,216,Billy Madison,Comedy,112508,11017.0,school Adam Sandler stop looking at me swan,school Adam Sandler stop looking at me swan Comedy,1995
182,217,"Babysitter, The",Drama Thriller,112438,37141.0,, Drama Thriller,1995
183,218,Boys on the Side,Comedy Drama,112571,9382.0,, Comedy Drama,1995
184,219,"Cure, The",Drama,112757,6715.0,, Drama,1995
185,220,Castle Freak,Horror,112643,18256.0,, Horror,1995
186,222,Circle of Friends,Drama Romance,112679,22625.0,Ireland,Ireland Drama Romance,1995
187,223,Clerks,Comedy,109445,2292.0,cynical hilarious independent film quirky witty generation X,cynical hilarious independent film quirky witty generation X Comedy,1994
188,224,Don Juan DeMarco,Comedy Drama Romance,112883,1909.0,mental illness psychology,mental illness psychology Comedy Drama Romance,1995
189,225,Disclosure,Drama Thriller,109635,8984.0,, Drama Thriller,1994
190,227,Drop Zone,Action Thriller,109676,4954.0,, Action Thriller,1994
191,228,Destiny Turns on the Radio,Comedy,112854,62488.0,, Comedy,1995
192,229,Death and the Maiden,Drama Thriller,109579,10531.0,, Drama Thriller,1994
193,230,Dolores Claiborne,Drama Thriller,109642,11929.0,Stephen King,Stephen King Drama Thriller,1995
194,231,Dumb & Dumber (Dumb and Dumber),Adventure Comedy,109686,8467.0,, Adventure Comedy,1994
195,232,Eat Drink Man Woman (Yin shi nan nu),Comedy Drama Romance,111797,10451.0,In Netflix queue,In Netflix queue Comedy Drama Romance,1994
196,233,Exotica,Drama,109759,20156.0,, Drama,1994
197,234,Exit to Eden,Comedy,109758,18395.0,, Comedy,1994
198,235,Ed Wood,Comedy Drama,109707,522.0,movie business,movie business Comedy Drama,1994
199,236,French Kiss,Action Comedy Romance,113117,397.0,, Action Comedy Romance,1995
200,237,Forget Paris,Comedy Romance,113097,10525.0,basketball France infertility,basketball France infertility Comedy Romance,1995
201,238,Far From Home: The Adventures of Yellow Dog,Adventure Children,113028,27985.0,, Adventure Children,1995
202,239,"Goofy Movie, A",Animation Children Comedy Romance,113198,15789.0,, Animation Children Comedy Romance,1995
203,240,Hideaway,Thriller,113303,27303.0,, Thriller,1995
204,241,Fluke,Children Drama,113089,21183.0,, Children Drama,1995
205,242,Farinelli: il castrato,Drama Musical,109771,10954.0,, Drama Musical,1994
206,243,Gordy,Children Comedy Fantasy,113199,47867.0,, Children Comedy Fantasy,1995
207,246,Hoop Dreams,Documentary,110057,14275.0,basketball,basketball Documentary,1994
208,247,Heavenly Creatures,Crime Drama,110005,1024.0,Australia,Australia Crime Drama,1994
209,248,Houseguest,Comedy,110066,17207.0,bad Sinbad,bad Sinbad Comedy,1994
210,249,Immortal Beloved,Drama Romance,110116,13701.0,Beethoven,Beethoven Drama Romance,1994
211,250,Heavyweights (Heavy Weights),Children Comedy,110006,14819.0,, Children Comedy,1995
212,251,"Hunted, The",Action,113360,32631.0,, Action,1995
213,252,I.Q.,Comedy Romance,110099,11777.0,Einstein,Einstein Comedy Romance,1994
214,253,Interview with the Vampire: The Vampire Chronicles,Drama Horror,110148,628.0,, Drama Horror,1994
215,254,Jefferson in Paris,Drama,113463,87729.0,, Drama,1995
216,255,"Jerky Boys, The",Comedy,110189,18713.0,, Comedy,1995
217,256,Junior,Comedy Sci-Fi,110216,6280.0,, Comedy Sci-Fi,1994
218,257,Just Cause,Mystery Thriller,113501,9061.0,court,court Mystery Thriller,1995
219,258,"Kid in King Arthur's Court, A",Adventure Children Comedy Fantasy Romance,113538,37108.0,, Adventure Children Comedy Fantasy Romance,1995
220,259,Kiss of Death,Crime Drama Thriller,113552,6071.0,, Crime Drama Thriller,1995
221,260,Star Wars: Episode IV - A New Hope,Action Adventure Sci-Fi,76759,11.0,classic space action action sci-fi EPIC great soundtrack classic sci-fi engrossing adventure EPIC classic Nerd classic sci-fi space action space epic oldie but goodie sci-fi Star Wars ROBOTS AND ANDROIDS space classic sci-fi sci-fi space adventure Star Wars darth vader luke skywalker space opera,classic space action action sci-fi EPIC great soundtrack classic sci-fi engrossing adventure EPIC classic Nerd classic sci-fi space action space epic oldie but goodie sci-fi Star Wars ROBOTS AND ANDROIDS space classic sci-fi sci-fi space adventure Star Wars darth vader luke skywalker space opera Action Adventure Sci-Fi,1977
222,261,Little Women,Drama,110367,9587.0,Louisa May Alcott,Louisa May Alcott Drama,1994
223,262,"Little Princess, A",Children Drama,113670,19101.0,England Girl Power India,England Girl Power India Children Drama,1995
224,263,Ladybird Ladybird,Drama,110296,49980.0,, Drama,1994
225,265,Like Water for Chocolate (Como agua para chocolate),Drama Fantasy Romance,103994,18183.0,, Drama Fantasy Romance,1992
226,266,Legends of the Fall,Drama Romance War Western,110322,4476.0,, Drama Romance War Western,1994
227,267,Major Payne,Comedy,110443,11008.0,, Comedy,1995
228,269,My Crazy Life (Mi vida loca),Drama,107566,32325.0,, Drama,1993
229,270,Love Affair,Drama Romance,110391,43742.0,, Drama Romance,1994
230,271,Losing Isaiah,Drama,113691,28313.0,, Drama,1995
231,272,"Madness of King George, The",Comedy Drama,110428,11318.0,England mental illness,England mental illness Comedy Drama,1994
232,273,Mary Shelley's Frankenstein (Frankenstein),Drama Horror Sci-Fi,109836,3036.0,gothic,gothic Drama Horror Sci-Fi,1994
233,274,Man of the House,Comedy,113755,40490.0,, Comedy,1995
234,275,Mixed Nuts,Comedy,110538,24070.0,, Comedy,1994
235,276,Milk Money,Comedy Romance,110516,8986.0,, Comedy Romance,1994
236,277,Miracle on 34th Street,Drama,110527,10510.0,Christmas,Christmas Drama,1994
237,278,Miami Rhapsody,Comedy,113808,17402.0,, Comedy,1995
238,279,My Family,Drama,113896,38722.0,In Netflix queue,In Netflix queue Drama,1995
239,280,Murder in the First,Drama Thriller,113870,8438.0,prison,prison Drama Thriller,1995
240,281,Nobody's Fool,Comedy Drama Romance,110684,11593.0,, Comedy Drama Romance,1994
241,282,Nell,Drama,110638,1945.0,disability twins,disability twins Drama,1994
242,283,New Jersey Drive,Crime Drama,113967,39310.0,, Crime Drama,1995
243,284,New York Cop (Nyû Yôku no koppu),Action Crime,117169,109560.0,, Action Crime,1993
244,285,Beyond Bedlam,Drama Horror,106402,56428.0,, Drama Horror,1993
245,287,Nina Takes a Lover,Comedy Romance,110671,131957.0,, Comedy Romance,1994
246,288,Natural Born Killers,Action Crime Thriller,110632,241.0,brutality controversial dark comedy psychedelic satire stylized,brutality controversial dark comedy psychedelic satire stylized Action Crime Thriller,1994
247,289,Only You,Comedy Romance,110737,9058.0,, Comedy Romance,1994
248,290,Once Were Warriors,Crime Drama,110729,527.0,In Netflix queue,In Netflix queue Crime Drama,1994
249,291,Poison Ivy II,Drama Thriller,114151,18220.0,, Drama Thriller,1996
250,292,Outbreak,Action Drama Sci-Fi Thriller,114069,6950.0,, Action Drama Sci-Fi Thriller,1995
251,293,Léon: The Professional (a.k.a. The Professional) (Léon),Action Crime Drama Thriller,110413,101.0,assassin Jean Reno hit men Action assassin assassination assassins awkward romance corruption crime disturbing drama French friendship Gary Oldman great acting Guns hit men hitman humorous imdb top 250 Jean Reno Lolita theme loneliness love story Luc Besson Natalie Portman organized crime police police corruption quirky sniper tense touching unique,assassin Jean Reno hit men Action assassin assassination assassins awkward romance corruption crime disturbing drama French friendship Gary Oldman great acting Guns hit men hitman humorous imdb top 250 Jean Reno Lolita theme loneliness love story Luc Besson Natalie Portman organized crime police police corruption quirky sniper tense touching unique Action Crime Drama Thriller,1994
252,294,"Perez Family, The",Comedy Romance,114113,63020.0,, Comedy Romance,1995
253,295,"Pyromaniac's Love Story, A",Comedy Romance,114210,2307.0,, Comedy Romance,1995
254,296,Pulp Fiction,Comedy Crime Drama Thriller,110912,680.0,good dialogue great soundtrack non-linear cult film drugs Quentin Tarantino Tarantino hit men 1990s achronological action action packed aggressive amazing amazing dialogues anthology assassin atmospheric AWESOME bad ass bad language bad-ass bible biblical references big boys with guns big name actors Black comedy black humor black humour blood blood splatters bloody bruce willis brutality casual violence character development characters classic classic movie coke comedy conversation cool cool style crime crime scene scrubbing cult cult classic cult film dance dancing dark dark comedy dark humor dialogue different diner disjointed timeline disturbing drama drug overdose drugs drugs & music ensemble cast entertaining entirely dialogue episodic exciting fast paced fast-paced film noir film-noir foul language fun funny gangster gangsters genius golden watch good dialogue good music gore great acting great dialogue great soundtrack gritty guns Harvey Keitel heroin Highly quotable hit men hitman homosexuality humour iconic imdb top 250 innovative intellectual intelligent intense interesting intertwining storylines interwoven storylines ironic irony John Travolta killer-as-protagonist los angeles Mafia masterpiece meaningless violence milkshake mobster mobsters monologue motherfucker multiple stories multiple storylines neo-noir noir non-linear non-linear timeline nonlinear nonlinear narrative nonlinear storyline nonlinear timeline notable soundtrack offensive organised crime organized crime original original plot out of order Palme d'Or parody philosophical pop culture references psychological pulp Quentin Tarantino quirky Quotable r:disturbing violent content including rape r:disturbing violent images r:graphic sexuality r:some violence r:strong bloody violence r:strong language r:sustained strong stylized violence r:violence random rape retro Roger Avary royal with cheese Samuel L. Jackson sarcasm satire sexy smart writing sophisticated soundtrack splatter Steve Buscemi storytelling stylish stylized suspense Tarantino thought-provoking thriller travolta twist ending Uma Thurman unique unpredictable unusual very funny violence violent witty,good dialogue great soundtrack non-linear cult film drugs Quentin Tarantino Tarantino hit men 1990s achronological action action packed aggressive amazing amazing dialogues anthology assassin atmospheric AWESOME bad ass bad language bad-ass bible biblical references big boys with guns big name actors Black comedy black humor black humour blood blood splatters bloody bruce willis brutality casual violence character development characters classic classic movie coke comedy conversation cool cool style crime crime scene scrubbing cult cult classic cult film dance dancing dark dark comedy dark humor dialogue different diner disjointed timeline disturbing drama drug overdose drugs drugs & music ensemble cast entertaining entirely dialogue episodic exciting fast paced fast-paced film noir film-noir foul language fun funny gangster gangsters genius golden watch good dialogue good music gore great acting great dialogue great soundtrack gritty guns Harvey Keitel heroin Highly quotable hit men hitman homosexuality humour iconic imdb top 250 innovative intellectual intelligent intense interesting intertwining storylines interwoven storylines ironic irony John Travolta killer-as-protagonist los angeles Mafia masterpiece meaningless violence milkshake mobster mobsters monologue motherfucker multiple stories multiple storylines neo-noir noir non-linear non-linear timeline nonlinear nonlinear narrative nonlinear storyline nonlinear timeline notable soundtrack offensive organised crime organized crime original original plot out of order Palme d'Or parody philosophical pop culture references psychological pulp Quentin Tarantino quirky Quotable r:disturbing violent content including rape r:disturbing violent images r:graphic sexuality r:some violence r:strong bloody violence r:strong language r:sustained strong stylized violence r:violence random rape retro Roger Avary royal with cheese Samuel L. Jackson sarcasm satire sexy smart writing sophisticated soundtrack splatter Steve Buscemi storytelling stylish stylized suspense Tarantino thought-provoking thriller travolta twist ending Uma Thurman unique unpredictable unusual very funny violence violent witty Comedy Crime Drama Thriller,1994
